id,score
1qkt_714-23,80.88723354817405
1qkt_718-24,69.99362808273796
1qkt_150-3,63.96043542160055
1qkt_834-47,63.11111151627429
1qkt_55-9,62.731427152558545
1qkt_826-46,60.834129732759195
1qkt_977-60,60.46698970407472
1qkt_728-25,60.29236921608619
1qkt_86-53,58.25938210835996
1qkt_31-4,52.24570283602541
1qkt_404-5,49.29913526759237
1qkt_132-1,45.79706452917272
1qkt_119-0,42.68037758648402
1qkt_486-6,38.59261750147196
1qkt_636-14,36.78933679131168
1qkt_144-2,36.52491559639067
1qkt_752-37,34.344897840555326
1qkt_674-21,34.27481065078575
1qkt_557-10,31.35417202521983
1qkt_776-45,31.34241278979451
1qkt_770-42,30.44945895615952
1qkt_661-19,26.97816034473006
1qkt_640-15,26.961864892919735
1qkt_666-20,25.233198658190936
1qkt_775-44,25.006129284225405
1qkt_873-58,22.300970055469396
1qkt_549-8,22.186650198890828
1qkt_842-48,21.7860363796102
1qkt_608-13,21.4982554028729
1qkt_698-22,20.189318450226306
1qkt_594-11,19.704938294986594
1qkt_766-41,19.260741679055414
1qkt_866-56,17.89239979527852
1qkt_744-33,17.8009623670476
1qkt_875-59,17.770462707325873
1qkt_738-30,17.43916030864512
1qkt_735-27,16.942395672061938
1qkt_860-54,16.65067421659599
1qkt_500-7,16.60279235724665
1qkt_774-43,16.13563112219199
1qkt_855-51,15.606468005778465
1qkt_746-34,15.426796797440792
1qkt_862-55,14.043887220575664
1qkt_655-18,14.022066908122698
1qkt_751-36,12.971734084174406
1qkt_750-35,12.899160108086969
1qkt_762-39,12.560423299473504
1qkt_758-38,12.438723526533055
1qkt_765-40,11.282061907342213
1qkt_598-12,10.898570813253716
1qkt_647-17,10.1909911529
1qkt_858-52,9.993148586347317
1qkt_867-57,9.97859140066065
1qkt_734-26,9.625101496135487
1qkt_848-49,9.239259924608179
1qkt_737-29,9.169040041531378
1qkt_851-50,8.956500426587596
1qkt_642-16,8.919006365316218
1qkt_740-31,8.862933992140167
1qkt_736-28,8.705999443345874
1qkt_742-32,7.628761983277231
